"Date","CASH3.SA.Open","CASH3.SA.High","CASH3.SA.Low","CASH3.SA.Close","CASH3.SA.Volume","CASH3.SA.Adjusted"
2021-10-06,54.4000015258789,55.5,51.7999992370605,54.5,6035790,23.0404090881348
2021-10-07,56.0999984741211,57.4000015258789,54,54.4000015258789,4778930,22.9981346130371
2021-10-08,56,58.7000007629395,55.5999984741211,56.5,4047850,23.8859272003174
2021-10-11,57.2000007629395,57.9000015258789,53.0999984741211,53.7000007629395,3234150,22.7022018432617
2021-10-13,54.2000007629395,55.7000007629395,52.2000007629395,54.2999992370605,5526300,22.9558563232422
2021-10-14,55.2000007629395,55.5,51.5,51.5999984741211,4353910,21.8144035339355
2021-10-15,51.7000007629395,52.5999984741211,49.5,49.5,4569970,20.9266090393066
2021-10-18,48.7999992370605,50.2000007629395,47.4000015258789,48.4000015258789,4507210,20.4615745544434
2021-10-19,47.9000015258789,49.7999992370605,43.7999992370605,44.2999992370605,5853110,18.7282581329346
2021-10-20,44.7999992370605,46,41.2000007629395,42.5999984741211,5678790,18.0095672607422
2021-10-21,40.7999992370605,42.4000015258789,39.2000007629395,39.2999992370605,5287570,16.6144599914551
2021-10-22,38.5,40.4000015258789,35.5,39.0999984741211,7351270,16.5299072265625
2021-10-25,39.9000015258789,41.7999992370605,39,40.0999984741211,3916710,16.9526672363281
2021-10-26,39.5999984741211,40,36.7999992370605,37.4000015258789,3614180,15.8112163543701
2021-10-27,37.7000007629395,39.2999992370605,35.2999992370605,35.7000007629395,4780230,15.0925245285034
2021-10-28,35.5,37.2000007629395,35,35.7000007629395,3540330,15.0925245285034
2021-10-29,36.2999992370605,36.5999984741211,32.7999992370605,33.0999984741211,3513650,13.9933490753174
2021-11-01,33.5,36.7999992370605,33.4000015258789,36.5999984741211,4788740,15.4730072021484
2021-11-03,36,38.0999984741211,34.2999992370605,36.5999984741211,5665820,15.4730072021484
2021-11-04,36.0999984741211,38.5999984741211,35.0999984741211,35.7999992370605,3580700,15.1347999572754
2021-11-05,37,38,36.7000007629395,37.5999984741211,2799790,15.8957681655884
2021-11-08,37.5,38,35.0999984741211,35.9000015258789,3244040,15.177077293396
2021-11-09,35.9000015258789,39.4000015258789,35.9000015258789,37.9000015258789,4142520,16.0225963592529
2021-11-10,38,40.2999992370605,36.5999984741211,38.7000007629395,3913440,16.3608055114746
2021-11-11,39.7000007629395,43.2000007629395,39,42.7000007629395,4843230,18.0518436431885
2021-11-12,43,44.2000007629395,38.0999984741211,38.7000007629395,4467670,16.3608055114746
2021-11-16,39.0999984741211,39.7999992370605,34.7000007629395,35.5999984741211,4180570,15.0502471923828
2021-11-17,34.2999992370605,37.5,33.7000007629395,37.2000007629395,5490880,15.7266645431519
2021-11-18,38.0999984741211,41,37.5999984741211,41,5149650,17.3331508636475
2021-11-19,41,42.2999992370605,38.0999984741211,39.7000007629395,4988840,16.7835636138916
2021-11-22,40.2000007629395,41.2000007629395,36.5,36.7999992370605,3552850,15.5575590133667
2021-11-23,37.2000007629395,37.5999984741211,34,34.7999992370605,4593270,14.7120409011841
2021-11-24,34.2999992370605,36.5999984741211,34.2000007629395,34.4000015258789,3760410,14.5429372787476
2021-11-25,34.7000007629395,36,34.2999992370605,35.5,3010220,15.0079727172852
2021-11-26,34,35.2000007629395,31.7000007629395,31.7999992370605,5566050,13.4437608718872
2021-11-29,32.9000015258789,33.9000015258789,32.5,32.9000015258789,3161070,13.9087972640991
2021-11-30,32.2999992370605,32.7000007629395,29.2000007629395,29.8999996185303,5599930,12.6405181884766
2021-12-01,31,31.2000007629395,26.5,26.5,6085220,11.2031345367432
2021-12-02,27.2999992370605,28.2999992370605,25.1000003814697,26.1000003814697,5458760,11.0340299606323
2021-12-03,27.6000003814697,34.9000015258789,27.3999996185303,34.2000007629395,12244360,14.458384513855
2021-12-06,35.2999992370605,36.0999984741211,30,30.2000007629395,8976820,12.7673454284668
2021-12-07,31.2999992370605,35.2000007629395,31.2000007629395,34.2999992370605,9250610,14.5006608963013
2021-12-08,33.4000015258789,36.2000007629395,32.5999984741211,33.7999992370605,6496420,14.2892808914185
2021-12-09,32.9000015258789,36,32.7999992370605,33.5,5623400,14.1624526977539
2021-12-10,34.7000007629395,39.2000007629395,34.0999984741211,38.5,8554360,16.276252746582
2021-12-13,39.5,39.7999992370605,36.2999992370605,36.5,6389180,15.4307317733765
2021-12-14,37.7000007629395,37.7000007629395,32.0999984741211,32.5999984741211,7940390,13.7819681167603
2021-12-15,32.7000007629395,34.9000015258789,31,34.2999992370605,7916950,14.5006608963013
2021-12-16,35.5999984741211,35.9000015258789,31.2000007629395,31.5,7075440,13.316933631897
2021-12-17,30.5,32.7000007629395,29.3999996185303,32.0999984741211,5964580,13.5705881118774
2021-12-20,30.6000003814697,32.7000007629395,30.5,31.2999992370605,3706060,13.2323808670044
2021-12-21,32.2000007629395,32.2999992370605,30.2999992370605,31,4209380,13.1055536270142
2021-12-22,31.1000003814697,33.2000007629395,30.5,33.0999984741211,5054990,13.9933490753174
2021-12-23,33.2000007629395,33.5,30.7999992370605,31,4028740,13.1055536270142
2021-12-27,31,32.2999992370605,30.6000003814697,31.1000003814697,3941220,13.1478300094604
2021-12-28,31.2999992370605,31.7000007629395,30.6000003814697,30.7999992370605,2511400,13.0210008621216
2021-12-29,30.8999996185303,31.1000003814697,29.7999992370605,30.1000003814697,2786690,12.7250690460205
2021-12-30,30.2000007629395,33.2000007629395,30.1000003814697,32.4000015258789,6542260,13.6974182128906
2022-01-03,32.4000015258789,32.9000015258789,29.8999996185303,30.5,4726960,12.8941736221313
2022-01-04,30.7000007629395,31.1000003814697,28.2999992370605,28.8999996185303,5232000,12.2177572250366
2022-01-05,29.3999996185303,29.3999996185303,26.1000003814697,26.2999992370605,6162660,11.1185827255249
2022-01-06,26.6000003814697,27.3999996185303,25.2999992370605,26.1000003814697,4569520,11.0340299606323
2022-01-07,25.7999992370605,27,24.7999992370605,26.1000003814697,3852290,11.0340299606323
2022-01-10,25.2999992370605,25.7000007629395,24.2000007629395,24.6000003814697,3379770,10.3998908996582
2022-01-11,24.5,26.7000007629395,24.5,26.3999996185303,4674100,11.1608581542969
2022-01-12,26.2999992370605,28,25.7000007629395,26.8999996185303,4290130,11.3722381591797
2022-01-13,26.7000007629395,27.2000007629395,24.7000007629395,25.6000003814697,4395700,10.8226509094238
2022-01-14,25.6000003814697,26,24.7000007629395,25.7000007629395,3203400,10.8649272918701
2022-01-17,25.3999996185303,27.2000007629395,25.2000007629395,25.8999996185303,3195400,10.9494781494141
