"Date","BRAV3.SA.Open","BRAV3.SA.High","BRAV3.SA.Low","BRAV3.SA.Close","BRAV3.SA.Volume","BRAV3.SA.Adjusted"
2023-08-31,32.5900001525879,33.560001373291,32.1500015258789,32.9199981689453,6972500,32.9199981689453
2023-09-01,33.4099998474121,33.75,32.8499984741211,33.2000007629395,3354800,33.2000007629395
2023-09-04,32.7999992370605,33.1399993896484,32.6399993896484,32.8499984741211,2645100,32.8499984741211
2023-09-05,32.8499984741211,33.5200004577637,32.6500015258789,33.2200012207031,6024000,33.2200012207031
2023-09-06,33.2400016784668,33.2999992370605,32.5,32.5800018310547,4497400,32.5800018310547
2023-09-08,32.5,32.5800018310547,32.1599998474121,32.310001373291,2743400,32.310001373291
2023-09-11,32.5999984741211,32.5999984741211,32.0400009155273,32.3499984741211,5451700,32.3499984741211
2023-09-12,32.5499992370605,33.2299995422363,32.3300018310547,32.9099998474121,3587700,32.9099998474121
2023-09-13,32.1699981689453,32.689998626709,32.0099983215332,32.2000007629395,7288100,32.2000007629395
2023-09-14,32.4099998474121,32.8899993896484,32.310001373291,32.8899993896484,4344400,32.8899993896484
2023-09-15,32.8899993896484,33.1800003051758,32.4599990844727,33.1300010681152,5964100,33.1300010681152
2023-09-18,33.1399993896484,33.2999992370605,32.3199996948242,32.560001373291,5099000,32.560001373291
2023-09-19,32.5699996948242,32.9700012207031,32.3699989318848,32.5900001525879,4298500,32.5900001525879
2023-09-20,32.5,32.9900016784668,32.4000015258789,32.5200004577637,4117100,32.5200004577637
2023-09-21,32.25,32.25,31.2099990844727,31.4300003051758,8133700,31.4300003051758
2023-09-22,31.7000007629395,31.7000007629395,31.0200004577637,31.1200008392334,3304800,31.1200008392334
2023-09-25,31,31.7600002288818,30.5300006866455,31.5100002288818,6344200,31.5100002288818
2023-09-26,31.3099994659424,31.3899993896484,30.7399997711182,30.8700008392334,3419400,30.8700008392334
2023-09-27,31.2000007629395,31.6299991607666,30.9699993133545,31.4200000762939,4291900,31.4200000762939
2023-09-28,31.3799991607666,31.7700004577637,30.9599990844727,31.1299991607666,4282700,31.1299991607666
2023-09-29,31.4200000762939,32.1699981689453,31.0200004577637,31.5799999237061,5810500,31.5799999237061
2023-10-02,31.7000007629395,31.7000007629395,30.8600006103516,30.9599990844727,3546700,30.9599990844727
2023-10-03,30.5100002288818,30.7900009155273,30.2199993133545,30.3500003814697,4442800,30.3500003814697
2023-10-04,30.25,30.8600006103516,29.2099990844727,29.4599990844727,6435600,29.4599990844727
2023-10-05,29.1399993896484,29.2999992370605,28.2199993133545,28.5400009155273,8387600,28.5400009155273
2023-10-06,28.0699996948242,28.8600006103516,27.8999996185303,28.4500007629395,5318600,28.4500007629395
2023-10-09,29.5,30.4799995422363,29.0799999237061,30.1599998474121,10029300,30.1599998474121
2023-10-10,30.2900009155273,30.9500007629395,29.9599990844727,30.8199996948242,6997200,30.8199996948242
