"Date","BRKM5.SA.Open","BRKM5.SA.High","BRKM5.SA.Low","BRKM5.SA.Close","BRKM5.SA.Volume","BRKM5.SA.Adjusted"
2017-08-23,37.3899993896484,37.560001373291,36.810001373291,37.1500015258789,952200,27.4748649597168
2017-08-24,37.1500015258789,37.7000007629395,36.6599998474121,37.4700012207031,893000,27.7115268707275
2017-08-25,37.7999992370605,37.7999992370605,37.060001373291,37.1800003051758,605400,27.4970512390137
2017-08-28,37.1800003051758,38.25,37.1800003051758,37.8499984741211,1293700,27.992561340332
2017-08-29,37.8899993896484,38.6500015258789,37.8899993896484,38.5499992370605,1311200,28.51025390625
2017-08-30,38.6300010681152,38.7900009155273,38.1300010681152,38.4099998474121,1128900,28.4067192077637
2017-08-31,38.6500015258789,38.6500015258789,37.7200012207031,38.1100006103516,1306100,28.1848487854004
2017-09-01,38.2299995422363,38.5,37.9900016784668,38.2999992370605,894700,28.3253631591797
2017-09-04,38.5200004577637,39.4700012207031,38.4199981689453,38.9900016784668,1036300,28.8356704711914
2017-09-05,39.4300003051758,39.810001373291,38.5099983215332,38.8499984741211,1730400,28.7321243286133
2017-09-06,39.3199996948242,40.7799987792969,39.189998626709,40.2400016784668,2525700,29.760124206543
2017-09-07,40.2400016784668,40.2400016784668,40.2400016784668,40.2400016784668,0,29.760124206543
2017-09-08,40.2099990844727,40.2700004577637,38.810001373291,39.5,1429900,29.2128410339355
2017-09-11,39.9900016784668,41.0800018310547,39.6699981689453,40.7799987792969,1299700,30.1594867706299
2017-09-12,40.7900009155273,42.0999984741211,40.7900009155273,41.6800003051758,1313800,30.8250999450684
2017-09-13,41.9000015258789,42.0900001525879,40.5900001525879,41,1485000,30.322193145752
2017-09-14,41,41.4000015258789,40.6399993896484,40.9000015258789,909700,30.248233795166
2017-09-15,41.4000015258789,41.8499984741211,40.8899993896484,41.2000007629395,1952200,30.4701061248779
2017-09-18,41.5699996948242,41.939998626709,40.9000015258789,41.2999992370605,1013600,30.5440616607666
2017-09-19,41.5999984741211,42.6599998474121,41.439998626709,42.1199989318848,1095200,31.1505031585693
2017-09-20,42.6599998474121,45.0400009155273,42.5800018310547,44.939998626709,2571200,33.236083984375
2017-09-21,44.8199996948242,45.1500015258789,43.6800003051758,44.3300018310547,1308800,32.7849502563477
2017-09-22,44.5499992370605,44.5499992370605,43.4500007629395,43.6500015258789,922700,32.282039642334
2017-09-25,44.25,44.25,42.2999992370605,42.5099983215332,1146100,31.4389362335205
2017-09-26,42.5,43.2200012207031,42.0999984741211,42.8800010681152,1032100,31.7125759124756
2017-09-27,43.2799987792969,43.4900016784668,41.1100006103516,42.0400009155273,1419200,31.0913410186768
2017-09-28,42.0900001525879,42.560001373291,41.1500015258789,42.1300010681152,1327600,31.1579036712646
2017-09-29,42.8499984741211,43.0299987792969,41.810001373291,42.4300003051758,1663800,31.3797702789307
2017-10-02,43.1100006103516,43.1599998474121,42.189998626709,42.7200012207031,1666600,31.5942401885986
2017-10-03,43,44.5200004577637,42.6100006103516,44.5200004577637,1691400,32.925464630127
2017-10-04,44.7900009155273,44.9300003051758,43.7599983215332,44.5099983215332,1201000,32.9180641174316
2017-10-05,45,45.9300003051758,44.1300010681152,44.4000015258789,1678200,32.8367156982422
2017-10-06,44.4000015258789,46.0499992370605,43.8899993896484,45.7799987792969,1715500,33.8573150634766
2017-10-09,46,46.3800010681152,45.5299987792969,46.0400009155273,748000,34.0496025085449
2017-10-10,46.4500007629395,46.4500007629395,45.1599998474121,45.6199989318848,1432200,33.7389869689941
2017-10-11,45.6199989318848,45.9199981689453,45.2000007629395,45.8899993896484,1480600,33.9386672973633
2017-10-12,45.8899993896484,45.8899993896484,45.8899993896484,45.8899993896484,0,33.9386672973633
2017-10-13,45.7799987792969,46.1800003051758,44.9500007629395,45.9099998474121,1223400,33.9534568786621
2017-10-16,45.810001373291,46.939998626709,45.6100006103516,46.7999992370605,1496000,34.6116714477539
2017-10-17,46.7900009155273,47.5099983215332,46.2900009155273,46.310001373291,2105400,34.2492866516113
2017-10-18,46.5099983215332,47.1800003051758,46.4099998474121,46.5400009155273,1461000,34.4193878173828
2017-10-19,46.5400009155273,47.2599983215332,45.6100006103516,46.4799995422363,1571700,34.3750114440918
2017-10-20,46.7099990844727,47.8899993896484,46.7099990844727,47.3699989318848,1239400,35.0332221984863
2017-10-23,47.6399993896484,47.7400016784668,45.7299995422363,46.2200012207031,1473700,34.1827278137207
2017-10-24,46.2200012207031,47.5299987792969,45.7799987792969,47.4700012207031,1808500,35.1071815490723
2017-10-25,47.560001373291,48.0699996948242,46.5900001525879,47.6399993896484,1484700,35.2329063415527
2017-10-26,47.8699989318848,48.0999984741211,47.2400016784668,47.5200004577637,1064000,35.1441650390625
2017-10-27,47.5200004577637,48.3400001525879,47.1100006103516,47.560001373291,1458700,35.1737480163574
2017-10-30,47.5,54.3400001525879,46.5699996948242,53.25,5662200,39.3818702697754
2017-10-31,51.2400016784668,52.939998626709,50.5,52.3600006103516,4286100,38.7236557006836
2017-11-01,52.1800003051758,52.2000007629395,49.9700012207031,50.560001373291,1966900,37.3924407958984
2017-11-02,50.560001373291,50.560001373291,50.560001373291,50.560001373291,0,37.3924407958984
2017-11-03,49.939998626709,51.310001373291,49.0200004577637,50.310001373291,2458500,37.2075500488281
2017-11-06,50.7900009155273,50.9599990844727,49.4300003051758,50.6399993896484,1761000,37.451602935791
2017-11-07,50,50.5900001525879,49.1199989318848,49.7599983215332,2293000,36.8007850646973
2017-11-08,49.7599983215332,51.3300018310547,49.3499984741211,51.3300018310547,1213700,37.9619064331055
2017-11-09,50.9000015258789,51.8899993896484,49.189998626709,50.4000015258789,1614400,37.274112701416
2017-11-10,50.0099983215332,50.3800010681152,49.1300010681152,49.5099983215332,815900,36.6158905029297
2017-11-13,49.5,49.5499992370605,48.1300010681152,48.4000015258789,1413300,35.7949752807617
2017-11-14,48.7000007629395,48.7000007629395,46.4799995422363,46.5699996948242,2334400,34.4415702819824
2017-11-15,46.5699996948242,46.5699996948242,46.5699996948242,46.5699996948242,0,34.4415702819824
2017-11-16,46.25,47.2200012207031,45.2999992370605,46.2599983215332,1674100,34.2123069763184
2017-11-17,46.310001373291,47.7799987792969,46.310001373291,47.2099990844727,1428700,34.9148902893066
2017-11-20,47.2099990844727,47.2099990844727,47.2099990844727,47.2099990844727,0,34.9148902893066
2017-11-21,47.3600006103516,47.8600006103516,45.3800010681152,47.7099990844727,2258800,35.2846755981445
2017-11-22,47.7000007629395,48,47.0200004577637,47.5,1843400,35.1293640136719
2017-11-23,47.3600006103516,47.7000007629395,47,47.3199996948242,510800,34.9962463378906
2017-11-24,47.2700004577637,48.7999992370605,46.8300018310547,48.2000007629395,1241900,35.6470680236816
2017-11-27,48.2099990844727,48.2099990844727,46.310001373291,46.5,1845700,34.3898010253906
2017-11-28,46.8400001525879,46.9799995422363,45.5,45.6199989318848,1672500,33.7389869689941
2017-11-29,46.4900016784668,46.9700012207031,45.4099998474121,45.6500015258789,1672500,33.761173248291
2017-11-30,45.8499984741211,45.9000015258789,44.4000015258789,45.4000015258789,2441500,33.5762825012207
