"Date","LWSA3.SA.Open","LWSA3.SA.High","LWSA3.SA.Low","LWSA3.SA.Close","LWSA3.SA.Volume","LWSA3.SA.Adjusted"
2020-05-14,5.875,5.95499992370605,5.7024998664856,5.9375,4411200,5.77385234832764
2020-05-15,5.82999992370605,6.06500005722046,5.62750005722046,6.05000019073486,2641600,5.88325166702271
2020-05-18,6.16249990463257,6.25,5.96000003814697,6.19999980926514,2408000,6.02911710739136
2020-05-19,6.16249990463257,6.25250005722046,6.06500005722046,6.25,3159600,6.07773923873901
2020-05-20,6.25250005722046,6.46250009536743,6.15500020980835,6.23999977111816,2825200,6.06801462173462
2020-05-21,6.23999977111816,6.34749984741211,6.15250015258789,6.15250015258789,4003600,5.98292636871338
2020-05-22,6,6.21000003814697,5.90000009536743,6.125,2886400,5.95618438720703
2020-05-25,6.34749984741211,6.41750001907349,6.21250009536743,6.25,3346800,6.07773923873901
2020-05-26,6.30499982833862,6.45499992370605,6.19250011444092,6.34499979019165,3362800,6.17012023925781
2020-05-27,6.35249996185303,6.84000015258789,6.35249996185303,6.625,4638000,6.4424033164978
2020-05-28,6.67749977111816,6.81750011444092,6.55249977111816,6.625,3574000,6.4424033164978
2020-05-29,6.63250017166138,6.68249988555908,6.13250017166138,6.55000019073486,21586000,6.36947059631348
2020-06-01,6.57499980926514,6.80000019073486,6.57499980926514,6.72249984741211,4270800,6.53721570968628
2020-06-02,6.87249994277954,7,6.77750015258789,7,10264800,6.80706787109375
2020-06-03,7.02500009536743,7.5,7.02500009536743,7.375,4429600,7.17173194885254
2020-06-04,7.375,7.42000007629395,7.28249979019165,7.375,3927200,7.17173194885254
2020-06-05,7.48000001907349,7.5,7.27500009536743,7.375,2526000,7.17173194885254
2020-06-08,7.4375,7.5,7.35249996185303,7.48750019073486,4798000,7.28113174438477
2020-06-09,7.39750003814697,7.65000009536743,7.25250005722046,7.65000009536743,2868400,7.43915271759033
2020-06-10,7.75,7.98000001907349,7.42749977111816,7.51249980926514,3106400,7.30544233322144
2020-06-12,7.21250009536743,7.6100001335144,7,7.59999990463257,4526800,7.39053058624268
2020-06-15,7.5,8.03750038146973,7.38749980926514,7.94750022888184,3527600,7.72845315933228
2020-06-16,8.09000015258789,8.19999980926514,7.79250001907349,8.11499977111816,5032000,7.89133596420288
2020-06-17,8.03499984741211,8.21000003814697,7.99749994277954,8.17500019073486,3264800,7.94968271255493
2020-06-18,8.17749977111816,8.48499965667725,8.15750026702881,8.34749984741211,5300000,8.11742782592773
2020-06-19,8.57499980926514,8.83749961853027,8.46249961853027,8.57499980926514,20819200,8.33865737915039
2020-06-22,8.71749973297119,8.89500045776367,8.38000011444092,8.5,3246000,8.26572513580322
2020-06-23,8.59500026702881,9.16250038146973,8.38000011444092,9.08500003814697,3969600,8.83460140228271
2020-06-24,9.05000019073486,9.05000019073486,8.73999977111816,8.97500038146973,3606400,8.72763347625732
2020-06-25,9,9.99250030517578,9,9.84500026702881,9038400,9.573655128479
2020-06-26,9.84749984741211,10.6099996566772,9.84749984741211,10.375,10282400,10.0890474319458
2020-06-29,10.3725004196167,10.6975002288818,10.3575000762939,10.6575002670288,4614800,10.3637609481812
2020-06-30,10.6999998092651,10.9849996566772,10.6774997711182,10.8000001907349,5162000,10.5023336410522
2020-07-01,11.1975002288818,11.9674997329712,10.9499998092651,11.9250001907349,14030000,11.5963258743286
2020-07-02,12.375,12.602499961853,11.6549997329712,11.8100004196167,10916800,11.4844961166382
2020-07-03,11.8374996185303,12.25,11.8374996185303,12.0649995803833,4390400,11.7324666976929
2020-07-06,12.2749996185303,12.3249998092651,11.4700002670288,11.6000003814697,8811200,11.2802839279175
2020-07-07,11.6000003814697,11.6700000762939,10.9499998092651,10.9975004196167,10132400,10.694390296936
2020-07-08,11.0474996566772,11.4899997711182,11.0299997329712,11.4200000762939,8924800,11.1052436828613
2020-07-09,11.5625,11.8325004577637,11.4575004577637,11.7325000762939,6836400,11.4091320037842
2020-07-10,11.7974996566772,12.1125001907349,11.7325000762939,12.0775003433228,5826800,11.7446231842041
2020-07-13,12.1774997711182,12.3199996948242,11.789999961853,11.8874998092651,5120400,11.5598592758179
2020-07-14,11.8275003433228,12,11.4499998092651,11.7849998474121,5881600,11.4601850509644
2020-07-15,11.9350004196167,12.0600004196167,11.2775001525879,11.4750003814697,7528800,11.1587295532227
2020-07-16,11.3424997329712,11.6724996566772,11.0675001144409,11.1999998092651,4878400,10.8913087844849
2020-07-17,11.25,11.3950004577637,11.1999998092651,11.25,3715200,10.9399299621582
2020-07-20,11.3500003814697,11.727499961853,11.3249998092651,11.7124996185303,5074000,11.3896818161011
2020-07-21,11.8125,12.0550003051758,11.5749998092651,11.625,5379200,11.3045949935913
2020-07-22,11.647500038147,11.9350004196167,11.4499998092651,11.8699998855591,5913200,11.5428419113159
2020-07-23,11.8824996948242,11.9724998474121,11.2749996185303,11.3225002288818,3418000,11.0104322433472
2020-07-24,11.3125,11.3125,10.5349998474121,11,6252000,10.6968202590942
2020-07-27,11.0474996566772,11.2224998474121,10.8299999237061,10.9624996185303,2609200,10.6603536605835
2020-07-28,10.9224996566772,10.9849996566772,10.7124996185303,10.8500003814697,2229200,10.5509548187256
2020-07-29,10.8474998474121,11.5924997329712,10.789999961853,11.3900003433228,5248400,11.0760717391968
2020-07-30,11.2875003814697,11.7924995422363,11.0749998092651,11.7299995422363,2764400,11.4067001342773
2020-07-31,11.8000001907349,12.2174997329712,11.647500038147,11.9750003814697,8328800,11.6449480056763
2020-08-03,12.2124996185303,12.8024997711182,12.0074996948242,12.5,11636400,12.155478477478
2020-08-04,12.335000038147,12.9300003051758,12.1000003814697,12.7524995803833,8253200,12.4010181427002
2020-08-05,12.9449996948242,13.3800001144409,12.5,13.2950000762939,9760400,12.9285669326782
2020-08-06,13.3325004577637,13.75,12.9624996185303,13.6499996185303,9519200,13.2737817764282
2020-08-07,13.5,14.2700004577637,13.4300003051758,13.7250003814697,8673600,13.3467149734497
2020-08-10,13.7799997329712,14.0799999237061,13.5424995422363,13.7399997711182,5927600,13.3613014221191
2020-08-11,13.7325000762939,13.7325000762939,13.1000003814697,13.4449996948242,8915200,13.0744314193726
2020-08-12,13.5124998092651,13.585000038147,12.7550001144409,12.9200000762939,4982400,12.5639019012451
2020-08-13,12.9200000762939,13.5625,12.7875003814697,13.2250003814697,10233600,12.8604965209961
2020-08-14,13.1000003814697,13.3374996185303,12.9700002670288,13.2749996185303,3644800,12.9091176986694
2020-08-17,13.2749996185303,13.6999998092651,12.9799995422363,13.3249998092651,8139600,12.9577398300171
2020-08-18,13.3249998092651,14.1724996566772,13.3249998092651,14.0249996185303,6744800,13.6384468078613
2020-08-19,14.0375003814697,14.5675001144409,14.0375003814697,14.4250001907349,7183600,14.0274219512939
2020-08-20,14.2449998855591,14.4375,13.8299999237061,14.375,3840800,13.9787998199463
2020-08-21,14.375,14.4949998855591,14.0150003433228,14.3249998092651,2794800,13.9301776885986
2020-08-24,14.4975004196167,14.7200002670288,14.25,14.5749998092651,3651200,14.1732883453369
2020-08-25,14.5749998092651,15.2550001144409,14.5749998092651,15.25,7399600,14.829683303833
2020-08-26,15.2974996566772,16.0349998474121,15.2574996948242,16.0349998474121,12299200,15.5930471420288
2020-08-27,16.2224998474121,16.4325008392334,14.7950000762939,15.1999998092651,15322000,14.7810611724854
2020-08-28,15.1999998092651,15.4300003051758,14.5200004577637,14.960000038147,8714400,14.5476760864258
2020-08-31,15.0024995803833,15.5574998855591,14.7600002288818,15.3599996566772,5498400,14.9366512298584
2020-09-01,15.5749998092651,16.2099990844727,15.4499998092651,16.1124992370605,8484800,15.6684112548828
2020-09-02,16.1825008392334,16.7175006866455,16.1474990844727,16.6049995422363,8549600,16.1473369598389
2020-09-03,16.6949996948242,17.1350002288818,15.289999961853,15.3299999237061,17020400,14.9074783325195
2020-09-04,15.7449998855591,15.9575004577637,14.1724996566772,15.6750001907349,24851600,15.2429695129395
2020-09-08,15.2475004196167,15.7250003814697,14.5424995422363,14.875,14081200,14.4650182723999
2020-09-09,15.2049999237061,15.3424997329712,14.6374998092651,14.7875003814697,6108800,14.3799314498901
2020-09-10,14.8275003433228,15.0249996185303,14.1750001907349,14.2475004196167,6220000,13.8548145294189
2020-09-11,14.3249998092651,14.8575000762939,13.5775003433228,14.5950002670288,12129600,14.1927366256714
2020-09-14,14.9224996566772,15.3400001525879,14.7600002288818,15.2574996948242,5750000,14.8369750976562
2020-09-15,15.4025001525879,15.6774997711182,14.8999996185303,15.25,6287200,14.829683303833
2020-09-16,15.2600002288818,15.5,15.1724996566772,15.2524995803833,3182400,14.8321142196655
2020-09-17,14.9250001907349,15.1125001907349,14.6700000762939,14.9300003051758,4180800,14.5185041427612
2020-09-18,14.8500003814697,15.0474996566772,14.5500001907349,14.6750001907349,3850400,14.2705316543579
2020-09-21,14.25,14.7174997329712,13.9375,14.6049995422363,4514000,14.2024602890015
2020-09-22,14.5500001907349,14.9875001907349,14.3699998855591,14.9624996185303,5404800,14.5501070022583
2020-09-23,14.9650001525879,15.2250003814697,14.5249996185303,14.5574998855591,5616800,14.1562700271606
2020-09-24,14.5574998855591,14.8549995422363,14.2174997329712,14.4525003433228,5336800,14.0541648864746
2020-09-25,14.4075002670288,14.4975004196167,14.0749998092651,14.2875003814697,4510800,13.8937120437622
2020-09-28,14.4724998474121,14.6674995422363,14.2250003814697,14.3424997329712,3753600,13.9471950531006
2020-09-29,14.3549995422363,14.4825000762939,14.0749998092651,14.0749998092651,3052400,13.6870679855347
2020-09-30,14.3500003814697,15.0974998474121,14.1000003814697,14.9025001525879,6990000,14.4917602539062
2020-10-01,15.0500001907349,16,14.8199996948242,15.9624996185303,11267200,15.5225458145142
2020-10-02,15.7524995803833,16.3899993896484,15.3249998092651,15.6225004196167,8187200,15.1919174194336
2020-10-05,15.7224998474121,15.9750003814697,15.25,15.3900003433228,4346800,14.9658241271973
2020-10-06,15.4549999237061,15.6049995422363,14.9174995422363,15.1774997711182,3696000,14.759181022644
2020-10-07,15.2775001525879,15.6374998092651,14.9700002670288,15.5500001907349,3655600,15.1214141845703
2020-10-08,15.6424999237061,15.9499998092651,15.539999961853,15.6300001144409,3806800,15.1992101669312
2020-10-09,15.6599998474121,16.0174999237061,15.5649995803833,15.7375001907349,3247200,15.303747177124
2020-10-13,15.8999996185303,16.5125007629395,15.8874998092651,16.4025001525879,5906400,15.95041847229
