"RADL3.SA.Open","RADL3.SA.High","RADL3.SA.Low","RADL3.SA.Close","RADL3.SA.Volume","RADL3.SA.Adjusted"
11.2038459777832,11.3884611129761,11.192307472229,11.3115377426147,6090760,10.5362739562988
11.3365383148193,11.394229888916,11.1769227981567,11.3384609222412,8139560,10.5613489151001
11.4038457870483,11.6865377426147,11.3249998092651,11.5769233703613,9504040,10.783465385437
11.5788459777832,11.6326923370361,11.3730764389038,11.5865383148193,6449040,10.7924222946167
11.5692300796509,11.8557691574097,11.4769229888916,11.7423067092896,8738600,10.9375171661377
11.7576923370361,11.8403835296631,11.6750001907349,11.7826919555664,7668440,10.975133895874
11.7884607315063,11.8403835296631,11.6076917648315,11.7807693481445,5686200,10.9733400344849
11.8057689666748,12.0269231796265,11.6884613037109,11.9250001907349,9050600,11.1076889038086
11.9230756759644,11.9730758666992,11.7730760574341,11.8865375518799,3777280,11.0718631744385
11.9250001907349,12,11.8961534500122,11.942307472229,2563600,11.1238088607788
