"IRBR3.SA.Open","IRBR3.SA.High","IRBR3.SA.Low","IRBR3.SA.Close","IRBR3.SA.Volume","IRBR3.SA.Adjusted"
258.551239013672,262.231658935547,257.784454345703,260.698150634766,198823,245.319381713867
260.698150634766,261.464904785156,256.480987548828,259.778045654297,198249,244.453536987305
258.474548339844,259.471343994141,256.480987548828,258.857940673828,131358,243.587707519531
258.78125,260.698150634766,256.250946044922,260.621490478516,214187,245.24723815918
260.391448974609,260.391448974609,256.480987548828,258.244537353516,164145,243.010513305664
258.244537353516,258.244537353516,258.244537353516,258.244537353516,0,243.010513305664
258.167846679688,260.774841308594,256.710998535156,257.631103515625,84511,242.433242797852
257.631103515625,260.238098144531,253.490615844727,258.321197509766,104830,243.082641601562
258.321197509766,258.321197509766,258.321197509766,258.321197509766,0,243.082641601562
258.78125,263.688507080078,256.480987548828,260.698150634766,104948,245.319381713867
