"AZZA3.SA.Open","AZZA3.SA.High","AZZA3.SA.Low","AZZA3.SA.Close","AZZA3.SA.Volume","AZZA3.SA.Adjusted"
31.4099998474121,31.4400005340576,30.3400001525879,30.3400001525879,206100,25.4233741760254
30.3500003814697,31.6200008392334,30.1499996185303,31.6200008392334,215200,26.4959506988525
31.7999992370605,33,31.5499992370605,33,717900,27.6523208618164
33,33.0499992370605,31.8500003814697,31.8500003814697,250100,26.6886749267578
31.5599994659424,31.7700004577637,31.0400009155273,31.7700004577637,200800,26.6216430664062
31.75,32.5499992370605,31.7000007629395,32.0999984741211,79500,26.8981666564941
32.0099983215332,32.0999984741211,31.7000007629395,31.9500007629395,240700,26.7724761962891
31.5799999237061,32.2299995422363,31.3700008392334,31.5,153100,26.3953952789307
31.5100002288818,32.0999984741211,31.2600002288818,32.0999984741211,72500,26.8981666564941
32.1500015258789,32.2299995422363,31.2099990844727,32,172200,26.8143711090088
